,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
Central Greece,0.02763937792622897,0.0010196347720064446,0.00759976552057029,0.016063170892275127,0.001284147628606034,0.027412692457847596,0.0023426587126571916,0.004725325880902197,0.00041525104778721093,0.04240430124874708,0.010708253672342934,0.0035736201404423774
South Greece,0.016265827983784908,0.0045269493182866485,3.8246362279493285e-08,0.0011456263729167923,5.567718575343909e-05,0.051271423565704674,0.006941668043818337,0.02015757891644625,0.0017494779464951172,0.0008590105370142776,0.005504172225628813,0.0025283395931796023
Crete,0.044669286552135125,0.0014652288322982666,0.026156374416357524,0.0022706134421756063,0.0009412082196855157,0.0037611790258484305,0.002154852208654481,0.0073488271671006454,0.00836915428580427,0.004312035455773846,0.11564274790575353,0.030213035628246624
Aegean Islands,0.03251111288140702,0.00010606551611368447,0.01814823389950229,0.004426660236859935,0.0003166918013888201,0.008050311549010411,0.0030006192922717827,0.03445850700459793,3.610030643724139e-05,0.006957514993826066,0.000361551340783489,0.008860148533118579
Hungary,0.0005575126222572403,0.004148358691632856,0.00013491862545804,0.0037331754123554866,0.001883579252900963,0.012587492275627322,0.0030624048928155766,0.030920636699076305,0.0040550742448351145,0.00010596776328443609,0.008982383807921893,0.008026554959450255
Iceland,0.026768332207726432,0.007353100329895629,0.0034484449306149303,0.008293197314909127,0.002616227799077197,0.0008276995915983519,5.731935121137743e-06,0.004195477114980296,0.02739608364122147,0.011997662593789418,0.0010769229530344132,0.00037068331701198254
Ireland,0.008001970060963752,0.02858029122682261,0.00825174652373552,0.0044636360081868375,0.0014471709092896696,1.7793751488586747e-06,0.0010260095687083608,0.0008812421775531774,0.0010191422332684382,0.040393869370464346,0.009511737368135074,2.659038938093694e-06
Italy,0.01189848899984268,0.0028765313148702587,0.0028042942750889127,1.0789268368108895e-05,0.0001332785094838855,0.000724322970654774,0.00021909133524823025,0.0007620862196095314,0.00602815833405321,8.84113504903283e-05,0.000512379421200278,0.004357508073765712
North Italy,0.0018464938353793551,0.009256505317809333,0.0006602210422549653,6.734514064482586e-09,0.0009785075285047447,1.0969022380501631e-05,9.809047881068593e-05,0.0003955989389641724,0.008415226607156717,0.00028724816562195304,0.0005900913962753426,0.002085406954974148
Tuscany,0.004764869314474276,0.007471165356379398,0.0006131352421864325,0.001778574601576782,0.00016023831324624046,0.003742036369102769,8.876203063281344e-05,8.290028966741978e-05,0.008963708064375017,0.0016186587200823367,0.0015943380053542494,7.506147294915941e-06
Central Italy,0.03232673175996458,0.001267410221176708,0.012272177656953952,0.0002704197817511029,0.0002409081772473564,0.009449827952902197,0.0020939132568441425,0.010322236740156428,0.0005007943745046248,0.0022970964432498385,0.006717761457655969,0.005935587851281914
South Italy,0.02937122670911919,1.3315291485890904e-05,0.003992912843046724,2.0290477954332e-06,0.00024768669556150515,9.777091390803869e-05,0.0008286352491355789,0.010470179455452004,0.010207176880091201,0.010050226398268589,0.0009356810498662673,0.016937520355113592
Sicily,0.03149368127547245,9.607531704727746e-05,0.0073546444527481025,0.00032275888214297935,0.0013430033928398975,0.004579014780104168,5.096335211661021e-06,5.509465090151098e-05,6.852166763660978e-05,0.0025804881794398477,0.002807632480230685,0.00139322380909506
Sardinia,0.013530453896732226,0.0010787000205391068,0.00791691468696095,0.004338907554675372,0.0017646731146879415,0.07123974441058174,0.046783740764731775,1.8007909987609807e-05,0.029285424639482596,3.025739055725043e-05,0.00749042565193922,0.003392370571848953
Kosovo,0.005557142197516409,0.0067069744756156425,0.02533461735397964,0.0009950901773060246,0.0008843457984142447,0.25146950476014523,0.00978135025103461,0.047902865623400986,0.020664212573236123,0.011505122387879723,0.012268038698025835,0.00016889965751820557
